stopTag,busLineTag,lat,lon,title,direction,order
13282,55,37.7655699,-122.41033,16th St & Bryant St,Inbound,8
13567,38,37.7810099,-122.5042299,43rd Ave & Clement St,Inbound to Downtown,1
13568,38,37.77978,-122.50414,43rd Ave & Point Lobos Ave,Inbound to Downtown,2
13619,56,37.70898,-122.3942199,Alana Way & Executive Park Blvd,Inbound to Visitacion Valley School,1
13692,56,37.71202,-122.40068,Blanken Ave & Tunnel Ave,Inbound to Visitacion Valley School,6
14575,56,37.7097999,-122.39284,Executive Park,Inbound to Visitacion Valley School,0
14576,56,37.71088,-122.39476,Executive Park Blvd & Blanken Ave,Inbound to Visitacion Valley School,2
14704,17,37.7152099,-122.4731699,Font Blvd & Chumasero Dr,Inbound to West Portal Station,10
14705,17,37.7159,-122.47429,Font Blvd & Cambon Dr,Inbound to West Portal Station,11
14773,28,37.8075599,-122.47502,Golden Gate Br. Parking Lot,Inbound to Fort Mason,29
14776,28,37.8066699,-122.47587,Merchant Rd & Golden Gate Br.,Inbound to Fort Mason,30
14809,9,37.7076999,-122.4184099,Geneva Ave & Castelo St,Inbound to Downtown,6
15247,M_OWL,37.7481599,-122.4589399,Forest Hill Station,Inbound to Embarcadero Station,17
15247,M_OWL,37.7481599,-122.4589399,Forest Hill Station,Inbound to Embarcadero Station,14
15247,K_OWL,37.7481599,-122.4589399,Forest Hill Station,Inbound to Embarcadero Station,17
15247,K_OWL,37.7481599,-122.4589399,Forest Hill Station,Inbound to Embarcadero Station,14
15450,36,37.73818,-122.4507099,555 Myra Way,Inbound to Forest Hill/Midtown Terrace,38
15451,36,37.7381999,-122.45088,555 Myra Way,Inbound to Forest Hill/Midtown Terrace,34
15452,36,37.7367399,-122.45379,Myra Way & Dalewood Way,Inbound to Forest Hill/Midtown Terrace,36
15453,36,37.7378199,-122.4514899,Myra Way & Molimo Dr,Inbound to Forest Hill/Midtown Terrace,35
15454,36,37.73773,-122.4517299,Myra Way & Molimo Dr,Inbound to Forest Hill/Midtown Terrace,37
15455,36,37.7392399,-122.45036,Myra Way & Omar Way,Inbound to Forest Hill/Midtown Terrace,39
15456,36,37.7392299,-122.45053,Myra Way & Omar Way,Inbound to Forest Hill/Midtown Terrace,33
15511,38,37.7818299,-122.50411,Fort Miley Hospital,Inbound to Downtown,0
16228,36,37.7401999,-122.45061,Reposa Way & Myra Way,Inbound to Forest Hill/Midtown Terrace,32
